package	version	architecture	status
libx11-data	2:1.7.5-1ubuntu0.3	all	install ok installed
libx11-dev	2:1.7.5-1ubuntu0.3	arm64	install ok installed
libx11-xcb1	2:1.7.5-1ubuntu0.3	arm64	install ok installed
libxau-dev	1:1.0.9-1build5	arm64	install ok installed
libxau6	1:1.0.9-1build5	arm64	install ok installed
libxaw7	2:1.0.14-1	arm64	install ok installed
libxcb-dri2-0	1.14-3ubuntu3	arm64	install ok installed
libxcb-dri3-0	1.14-3ubuntu3	arm64	install ok installed
libxcb-glx0	1.14-3ubuntu3	arm64	install ok installed
libxcb-icccm4	0.4.1-1.1build2	arm64	install ok installed
libxcb-image0	0.4.0-2	arm64	install ok installed
libxcb-keysyms1	0.4.0-1build3	arm64	install ok installed
libxcb-present0	1.14-3ubuntu3	arm64	install ok installed
libxcb-randr0	1.14-3ubuntu3	arm64	install ok installed
libxcb-render-util0	0.3.9-1build3	arm64	install ok installed
libxcb-render0	1.14-3ubuntu3	arm64	install ok installed
